region,job_type,department,prestige,sid,ga_sid,school,school_ctyst,school_cszip,school_address,title,rgb
northeast,quant,Electrical Engineering and Computer Science,H,s11,qa03,the Massachusetts Institute of Technology,"Cambridge, MA","Cambridge, MA 02139","32 Vassar St, Room 376","Ph.D. Candidate, Department of Electrical Engineering and Computer Science","163,31,52"
northeast,quant,Computer Science,H,s04,qa04,Carnegie Mellon University,"Pittsburgh, PA","Pittsburgh, PA 15213","5000 Forbes Ave, GHC 8213 ","Ph.D. Candidate, Department of Computer Science","187,0,0"
northeast,quant,Computer Science,L,s24,qa07,"the University of Massachusetts, Lowell","Lowell, MA","Lowell, MA 01854","198 Riverside St, Olsen Hall 204","Ph.D. Candidate, Department of Computer Science","0,61,165"
northeast,quant,Computer Science,L,s28,qa08,the University of Vermont,"Burlington, VT","Burlington, VT 05405","33 Colchester Ave, Votey 351","Ph.D. Candidate, Department of Computer Science","0,113,86"
midwest,quant,Computer Science,H,s22,qa09,the University of Illinois at Urbana-Champaign,"Urbana, IL","Urbana, IL 61801","201 N. Goodwin Ave, 1210 Siebel Center","Ph.D. Candidate, Department of Computer Science","19,41,75"
midwest,quant,Electrical Engineering and Computer Science,H,s26,qa10,the University of Michigan,"Ann Arbor, MI","Ann Arbor, MI 48109","2260 Hayward St, 3903 Beyster","Ph.D. Candidate, Computer Science and Engineering","4,30,66"
midwest,quant,Computer Science,L,s10,qa11,Kent State University,"Kent, OH","Kent, OH 44242",241 Mathematics and Computer Science Building,"Ph.D. Candidate, Department of Computer Science","0,38,100"
midwest,quant,Computer Science,L,s30,qa12,Western Michigan University,"Kalamazoo, MI","Kalamazoo, MI 49008","4601 Campus Dr, Room B-237","Ph.D. Candidate, Department of Computer Science","252,195,15"
south,quant,Computer Science,L,s08,qa13,Georgia State University,"Atlanta, GA","Atlanta, GA 30302","25 Park Place, Room 644","Ph.D. Candidate, Department of Computer Science","0,57,166"
south,quant,Computer Science,L,s06,qa14,Florida International University,"Miami, FL","Miami, FL 33199","11200 SW 8th St, ECS 354","Ph.D. Candidate, Computer Science, School of Computing and Information Sciences","4,30,66"
south,quant,Computer Science,H,s07,qa15,the Georgia Institute of Technology,"Atlanta, GA","Atlanta, GA 30332","266 Ferst Drive, KACB 1301","Ph.D. Candidate, Department of Computer Science","179,163,105"
south,quant,Computer Science,H,s27,qa16,"the University of Texas, Austin","Austin, TX","Austin, TX 78712","2317 Speedway, GDC 5.728B","Ph.D. Candidate, Department of Computer Science","191,87,0"
westcoast,stats,Statistics,H,s17,st01,Stanford University,"Stanford, CA","Stanford, CA 94305",390 Serra Mall,"Ph.D. Candidate, Department of Statistics","140,21,21"
westcoast,stats,Statistics,H,s20,st02,"the University of California, Berkeley","Berkeley, CA","Berkeley, CA 94720",391 Evans Hall,"Ph.D. Candidate, Department of Statistics","0,50,98"
westcoast,stats,Mathematical Sciences,L,s55,st05,Montana State University,"Bozeman, MT","Bozeman, MT 59717",Wilson Hall 2-226,"Ph.D. Candidate Statistics, Department of Mathematical Sciences","0,63,127"
westcoast,stats,Statistics,L,s56,st06,Oregon State University,"Corvallis, OR","Corvallis, OR 97331","Weniger Hall, Room 279","Ph.D. Candidate, Department of Statistics","215,63,9"
northeast,stats,Statistics,H,s09,st03,Harvard University,"Cambridge, MA","Cambridge, MA 02138","1 Oxford Street, Science Center 400","Ph.D. Candidate, Department of Statistics","163,31,52"
northeast,stats,Statistics,H,s45,st04,"the Wharton School, University of Pennsylvania","Philadelphia, PA","Philadelphia, PA 19104","3730 Walnut St, Jon M. Huntsman Hall 449","Ph.D. Candidate, Department of Statistics","0,71,133"
northeast,stats,Mathematics and Statistics,L,s54,st07,"the University of Massachusetts, Amherst","Amherst, MA","Amherst, MA 01003","710 N. Pleasant Street, LGRT 1623D","Ph.D. Candidate Statistics, Department of Mathematics and Statistics","136,28,28"
northeast,stats,Statistics,L,s57,st08,George Mason University,"Fairfax, VA","Fairfax, VA 22030","Nguyen Engineering Building, 1705","Ph.D. Candidate, Department of Statistics","30,98,56"
midwest,stats,Statistics,H,s21,st09,the University of Chicago,"Chicago, IL","Chicago, IL 60637","5747 S. Ellis Avenue, Jones 208","Ph.D. Candidate, Department of Statistics","128,0,0"
midwest,stats,Statistics,H,s26,st10,the University of Michigan,"Ann Arbor, MI","Ann Arbor, MI 48109","1085 South University, 431E West Hall","Ph.D. Candidate, Department of Statistics","4,30,66"
midwest,stats,Statistics,L,s52,st11,North Dakota State University,"Fargo, ND","Fargo, ND 58108",221K Morrill Hall,"Ph.D. Candidate, Department of Statistics","0,102,51"
midwest,stats,Statistics,L,s30,st12,Western Michigan University,"Kalamazoo, MI","Kalamazoo, MI 49008","5507 Everett Tower, 5157","Ph.D. Candidate, Department of Statistics","252,195,15"
south,stats,Mathematics and Statistics,L,s44,st13,Old Dominion University,"Norfolk, VA","Norfolk, VA 23529",2300 Engineering & Computational Sciences Building,"Ph.D. Candidate Statistics, Department of Mathematics and Statistics","0,48,47"
south,stats,Department of Statistics,L,s53,st14,University of Kentucky,"Lexington, KY","Lexington, KY 40536","725 Rose Street, MDS 348","Ph.D. Candidate, Department of Statistics","26,71,140"
south,stats,Statistical Science,H,s31,st15,Duke University,"Durham, NC","Durham, NC 27708","213 Old Chemistry Building, Box 90250","Ph.D. Candidate, Department of Statistical Science","0,26,87"
south,stats,Statistics & Operations Research,H,s46,st16,"the University of North Carolina, Chapel Hill","Chapel Hill, NC","Chapel Hill, NC 27599","318 Hanes Hall, B-46","Ph.D. Candidate, Department of Statistics & Operations Research","75,156,211"
westcoast,computer_science,Computer Science,H,s17,cs01,Stanford University,"Stanford, CA","Stanford, CA 94305","353 Serra Mall, Gates 438","M.S. Candidate, Department of Computer Science","140,21,21"
westcoast,computer_science,Electrical Engineering and Computer Sciences,H,s20,cs02,"the University of California, Berkeley","Berkeley, CA","Berkeley, CA 94720",253 Cory Hall,"M.S. Candidate, Department of Electrical Engineering and Computer Sciences","0,50,98"
westcoast,computer_science,Electrical Engineering and Computer Science,L,s19,cs05,"the University of California, Merced","Merced, CA","Merced, CA 95343","5200 N. Lake Road, SE2-315","M.S. Candidate, Department of Electrical Engineering and Computer Science","0,40,86"
westcoast,computer_science,Computer Science,L,s14,cs06,Portland State University,"Portland, OR","Portland, OR 97201","1900 SW 4th Ave, FAB 120","M.S. Candidate, Department of Computer Science","21,71,52"
northeast,computer_science,Electrical Engineering and Computer Science,H,s11,cs03,the Massachusetts Institute of Technology,"Cambridge, MA","Cambridge, MA 02139","32 Vassar St, Room 376","M.S. Candidate, Department of Electrical Engineering and Computer Science","163,31,52"
northeast,computer_science,Computer Science,H,s04,cs04,Carnegie Mellon University,"Pittsburgh, PA","Pittsburgh, PA 15213","5000 Forbes Ave, GHC 8213 ","M.S. Candidate, Computer Science, School of Computer Science","187,0,0"
northeast,computer_science,Computer Science,L,s24,cs07,"the University of Massachusetts, Lowell","Lowell, MA","Lowell, MA 01854","198 Riverside St, Olsen Hall 204","M.S. Candidate, Department of Computer Science","0,61,165"
northeast,computer_science,Computer Science,L,s28,cs08,the University of Vermont,"Burlington, VT","Burlington, VT 05405","33 Colchester Ave, Votey 351","M.S. Candidate, Department of Computer Science","0,113,86"
midwest,computer_science,Computer Science,H,s22,cs09,the University of Illinois at Urbana-Champaign,"Urbana, IL","Urbana, IL 61801","201 N. Goodwin Ave, 1210 Siebel Center","M.S. Candidate, Department of Computer Science","19,41,75"
midwest,computer_science,Electrical Engineering and Computer Science,H,s26,cs10,the University of Michigan,"Ann Arbor, MI","Ann Arbor, MI 48109","2260 Hayward St, 3903 Beyster","M.S. Candidate, Computer Science and Engineering","4,30,66"
midwest,computer_science,Computer Science,L,s10,cs11,Kent State University,"Kent, OH","Kent, OH 44242",241 Mathematics and Computer Science Building,"M.S. Candidate, Department of Computer Science","0,38,100"
midwest,computer_science,Computer Science,L,s30,cs12,Western Michigan University,"Kalamazoo, MI","Kalamazoo, MI 49008","4601 Campus Dr, Room B-237","M.S. Candidate, Department of Computer Science","252,195,15"
south,computer_science,Computer Science,L,s08,cs13,Georgia State University,"Atlanta, GA","Atlanta, GA 30302","25 Park Place, Room 644","M.S. Candidate, Department of Computer Science","0,57,166"
south,computer_science,Computer Science,L,s06,cs14,Florida International University,"Miami, FL","Miami, FL 33199","11200 SW 8th St, ECS 354","M.S. Candidate, Computer Science, School of Computing and Information Sciences","4,30,66"
south,computer_science,Computer Science,H,s07,cs15,the Georgia Institute of Technology,"Atlanta, GA","Atlanta, GA 30332","266 Ferst Drive, KACB 1301","M.S. Candidate, Computer Science, School of Computer Science","179,163,105"
south,computer_science,Computer Science,H,s27,cs16,"the University of Texas, Austin","Austin, TX","Austin, TX 78712","2317 Speedway, GDC 5.728B","M.S. Candidate, Department of Computer Science","191,87,0"
westcoast,mba,the Graduate School of Business at Stanford University,H,s17,mba01,Stanford University,"Stanford, CA","Stanford, CA 94305",655 Knight Way,"MBA Candidate, Graduate School of Business","140,21,21"
westcoast,mba,"the Haas School of Business at the University of California, Berkeley",H,s20,mba02,"the University of California, Berkeley","Berkeley, CA","Berkeley, CA 94720",2220 Piedmont Avenue,"MBA Candidate, Haas School of Business","0,50,98"
westcoast,mba,the School of Business Administration at Gonzaga University,L,s47,mba09,Gonzaga University,"Spokane, WA","Spokane, WA 99258",502 E. Boone Ave,"MBA Candidate, School of Business Administration","4,30,66"
westcoast,mba,the Fowler College of Business at San Diego State University,L,s48,mba10,San Diego State University,"San Diego, CA","San Diego, CA 92182",5500 Campanile Drive,"MBA Candidate, Fowler College of Business","194,48,56"
northeast,mba,Harvard Business School,H,s09,mba03,Harvard University,"Boston, MA","Boston, MA 02163",30 Harvard Way,"MBA Candidate, Harvard Business School","165,28,48"
northeast,mba,the Wharton School at the University of Pennsylvania,H,s45,mba04,the University of Pennsylvania,"Philadelphia, PA","Philadelphia, PA 19104","3733 Spruce Street, Vance Hall, Suite 111","MBA Candidate, Wharton School","0,71,133"
northeast,mba,the Charles F. Dolan School of Business at Fairfield University,L,s49,mba11,Fairfield University,"Fairfield, CT","Fairfield, CT 06824",1073 N. Benson Road,"MBA Candidate, Charles F. Dolan School of Business","224,58,62"
northeast,mba,the Lubin School of Business at Pace University,L,s50,mba12,Pace University,"New York, NY","New York, NY 10038","1 Pace Plaza, 1st Floor","MBA Candidate, Lubin School of Business","0,45,114"
midwest,mba,the Booth School of Business at the University of Chicago,H,s21,mba05,the University of Chicago,"Chicago, IL","Chicago, IL 60637",5807 S Woodlawn Ave,"MBA Candidate, Booth School of Business","128,0,0"
midwest,mba,the Kellogg School of Management at Northwestern University,H,s13,mba06,Northwestern University,"Evanston, IL","Evanston, IL 60208",2211 Campus Drive,"MBA Candidate, Kellogg School of Management","78,42,132"
midwest,mba,the Miller College of Business at Ball State University,L,s41,mba13,Ball State University,"Muncie, IN","Muncie, IN 47306","Whitinger Business Building, Room 146","MBA Candidate, Miller College of Business","186,12,47"
midwest,mba,the Seidman College of Business at Grand Valley State University,L,s51,mba14,Grand Valley State University,"Grand Rapids, MI","Grand Rapids, MI 49504","50 Front Ave SW, Suite 1031 ","MBA Candidate, Seidman College of Business","0,75,135"
south,mba,the Robinson College of Business at Georgia State University,L,s08,mba15,Georgia State University,"Atlanta, GA","Atlanta, GA 30302",35 Broad St NW,"MBA Candidate, Robinson College of Business","0,57,166"
south,mba,"the Bryan School of Business and Economics at the University of North Carolina, Greensboro",L,s39,mba16,"the University of North Carolina, Greensboro","Greensboro, NC","Greensboro, NC 27402",516 Stirling Street,"MBA Candidate, Bryan School of Business and Economics","15,32,68"
south,mba,the Fuqua School of Business at Duke University,H,s31,mba07,Duke University,"Durham, NC","Durham, NC 27708","100 Fuqua Drive, Box 90120","MBA Candidate, Fuqua School of Business","0,26,87"
south,mba,"the McCombs School of Business at the University of Texas, Austin",H,s27,mba08,"the University of Texas, Austin","Austin, TX","Austin, TX 78712",300 W. Martin Luther King Jr. Blvd.,"MBA Candidate, McCombs School of Business","191,87,0"
westcoast,mba_analyst,the Graduate School of Business at Stanford University,H,s17,mba01,Stanford University,"Stanford, CA","Stanford, CA 94305",655 Knight Way,"MBA Candidate, Graduate School of Business","140,21,21"
westcoast,mba_analyst,"the Haas School of Business at the University of California, Berkeley",H,s20,mba02,"the University of California, Berkeley","Berkeley, CA","Berkeley, CA 94720",2220 Piedmont Avenue,"MBA Candidate, Haas School of Business","0,50,98"
westcoast,mba_analyst,the School of Business Administration at Gonzaga University,L,s47,mba09,Gonzaga University,"Spokane, WA","Spokane, WA 99258",502 E. Boone Ave,"MBA Candidate, School of Business Administration","4,30,66"
westcoast,mba_analyst,the Fowler College of Business at San Diego State University,L,s48,mba10,San Diego State University,"San Diego, CA","San Diego, CA 92182",5500 Campanile Drive,"MBA Candidate, Fowler College of Business","194,48,56"
northeast,mba_analyst,Harvard Business School,H,s09,mba03,Harvard University,"Boston, MA","Boston, MA 02163",30 Harvard Way,"MBA Candidate, Harvard Business School","165,28,48"
northeast,mba_analyst,the Wharton School at the University of Pennsylvania,H,s45,mba04,the University of Pennsylvania,"Philadelphia, PA","Philadelphia, PA 19104","3733 Spruce Street, Vance Hall, Suite 111","MBA Candidate, Wharton School","0,71,133"
northeast,mba_analyst,the Charles F. Dolan School of Business at Fairfield University,L,s49,mba11,Fairfield University,"Fairfield, CT","Fairfield, CT 06824",1073 N. Benson Road,"MBA Candidate, Charles F. Dolan School of Business","224,58,62"
northeast,mba_analyst,the Lubin School of Business at Pace University,L,s50,mba12,Pace University,"New York, NY","New York, NY 10038","1 Pace Plaza, 1st Floor","MBA Candidate, Lubin School of Business","0,45,114"
midwest,mba_analyst,the Booth School of Business at the University of Chicago,H,s21,mba05,the University of Chicago,"Chicago, IL","Chicago, IL 60637",5807 S Woodlawn Ave,"MBA Candidate, Booth School of Business","128,0,0"
midwest,mba_analyst,the Kellogg School of Management at Northwestern University,H,s13,mba06,Northwestern University,"Evanston, IL","Evanston, IL 60208",2211 Campus Drive,"MBA Candidate, Kellogg School of Management","78,42,132"
midwest,mba_analyst,the Miller College of Business at Ball State University,L,s41,mba13,Ball State University,"Muncie, IN","Muncie, IN 47306","Whitinger Business Building, Room 146","MBA Candidate, Miller College of Business","186,12,47"
midwest,mba_analyst,the Seidman College of Business at Grand Valley State University,L,s51,mba14,Grand Valley State University,"Grand Rapids, MI","Grand Rapids, MI 49504","50 Front Ave SW, Suite 1031 ","MBA Candidate, Seidman College of Business","0,75,135"
south,mba_analyst,the Robinson College of Business at Georgia State University,L,s08,mba15,Georgia State University,"Atlanta, GA","Atlanta, GA 30302",35 Broad St NW,"MBA Candidate, Robinson College of Business","0,57,166"
south,mba_analyst,"the Bryan School of Business and Economics at the University of North Carolina, Greensboro",L,s39,mba16,"the University of North Carolina, Greensboro","Greensboro, NC","Greensboro, NC 27402",516 Stirling Street,"MBA Candidate, Bryan School of Business and Economics","15,32,68"
south,mba_analyst,the Fuqua School of Business at Duke University,H,s31,mba07,Duke University,"Durham, NC","Durham, NC 27708","100 Fuqua Drive, Box 90120","MBA Candidate, Fuqua School of Business","0,26,87"
south,mba_analyst,"the McCombs School of Business at the University of Texas, Austin",H,s27,mba08,"the University of Texas, Austin","Austin, TX","Austin, TX 78712",300 W. Martin Luther King Jr. Blvd.,"MBA Candidate, McCombs School of Business","191,87,0"
westcoast,mba_finance,the Graduate School of Business at Stanford University,H,s17,mbafin01,Stanford University,"Stanford, CA","Stanford, CA 94305",655 Knight Way,"MBA Candidate, Graduate School of Business","140,21,21"
westcoast,mba_finance,"the Haas School of Business at the University of California, Berkeley",H,s20,mbafin02,"the University of California, Berkeley","Berkeley, CA","Berkeley, CA 94720",2220 Piedmont Avenue,"MBA Candidate, Haas School of Business","0,50,98"
westcoast,mba_finance,the School of Business Administration at Gonzaga University,L,s47,mbafin09,Gonzaga University,"Spokane, WA","Spokane, WA 99258",502 E. Boone Ave,"MBA Candidate, School of Business Administration","4,30,66"
westcoast,mba_finance,the Fowler College of Business at San Diego State University,L,s48,mbafin10,San Diego State University,"San Diego, CA","San Diego, CA 92182",5500 Campanile Drive,"MBA Candidate, Fowler College of Business","194,48,56"
northeast,mba_finance,Harvard Business School,H,s09,mbafin03,Harvard University,"Boston, MA","Boston, MA 02163",30 Harvard Way,"MBA Candidate, Harvard Business School","165,28,48"
northeast,mba_finance,the Wharton School at the University of Pennsylvania,H,s45,mbafin04,the University of Pennsylvania,"Philadelphia, PA","Philadelphia, PA 19104","3733 Spruce Street, Vance Hall, Suite 111","MBA Candidate, Wharton School","0,71,133"
northeast,mba_finance,the Charles F. Dolan School of Business at Fairfield University,L,s49,mbafin11,Fairfield University,"Fairfield, CT","Fairfield, CT 06824",1073 N. Benson Road,"MBA Candidate, Charles F. Dolan School of Business","224,58,62"
northeast,mba_finance,the Lubin School of Business at Pace University,L,s50,mbafin12,Pace University,"New York, NY","New York, NY 10038","1 Pace Plaza, 1st Floor","MBA Candidate, Lubin School of Business","0,45,114"
midwest,mba_finance,the Booth School of Business at the University of Chicago,H,s21,mbafin05,the University of Chicago,"Chicago, IL","Chicago, IL 60637",5807 S Woodlawn Ave,"MBA Candidate, Booth School of Business","128,0,0"
midwest,mba_finance,the Kellogg School of Management at Northwestern University,H,s13,mbafin06,Northwestern University,"Evanston, IL","Evanston, IL 60208",2211 Campus Drive,"MBA Candidate, Kellogg School of Management","78,42,132"
midwest,mba_finance,the Miller College of Business at Ball State University,L,s41,mbafin13,Ball State University,"Muncie, IN","Muncie, IN 47306","Whitinger Business Building, Room 146","MBA Candidate, Miller College of Business","186,12,47"
midwest,mba_finance,the Seidman College of Business at Grand Valley State University,L,s51,mbafin14,Grand Valley State University,"Grand Rapids, MI","Grand Rapids, MI 49504","50 Front Ave SW, Suite 1031 ","MBA Candidate, Seidman College of Business","0,75,135"
south,mba_finance,the Robinson College of Business at Georgia State University,L,s08,mbafin15,Georgia State University,"Atlanta, GA","Atlanta, GA 30302",35 Broad St NW,"MBA Candidate, Robinson College of Business","0,57,166"
south,mba_finance,"the Bryan School of Business and Economics at the University of North Carolina, Greensboro",L,s39,mbafin16,"the University of North Carolina, Greensboro","Greensboro, NC","Greensboro, NC 27402",516 Stirling Street,"MBA Candidate, Bryan School of Business and Economics","15,32,68"
south,mba_finance,the Fuqua School of Business at Duke University,H,s31,mbafin07,Duke University,"Durham, NC","Durham, NC 27708","100 Fuqua Drive, Box 90120","MBA Candidate, Fuqua School of Business","0,26,87"
south,mba_finance,"the McCombs School of Business at the University of Texas, Austin",H,s27,mbafin08,"the University of Texas, Austin","Austin, TX","Austin, TX 78712",300 W. Martin Luther King Jr. Blvd.,"MBA Candidate, McCombs School of Business","191,87,0"
westcoast,consultant,the Graduate School of Business at Stanford University,H,s17,mba01,Stanford University,"Stanford, CA","Stanford, CA 94305",655 Knight Way,"MBA Candidate, Graduate School of Business","140,21,21"
westcoast,consultant,"the Haas School of Business at the University of California, Berkeley",H,s20,mba02,"the University of California, Berkeley","Berkeley, CA","Berkeley, CA 94720",2220 Piedmont Avenue,"MBA Candidate, Haas School of Business","0,50,98"
westcoast,consultant,the School of Business Administration at Gonzaga University,L,s47,mba09,Gonzaga University,"Spokane, WA","Spokane, WA 99258",502 E. Boone Ave,"MBA Candidate, School of Business Administration","4,30,66"
westcoast,consultant,the Fowler College of Business at San Diego State University,L,s48,mba10,San Diego State University,"San Diego, CA","San Diego, CA 92182",5500 Campanile Drive,"MBA Candidate, Fowler College of Business","194,48,56"
northeast,consultant,Harvard Business School,H,s09,mba03,Harvard University,"Boston, MA","Boston, MA 02163",30 Harvard Way,"MBA Candidate, Harvard School of Business","165,28,48"
northeast,consultant,the Wharton School at the University of Pennsylvania,H,s45,mba04,the University of Pennsylvania,"Philadelphia, PA","Philadelphia, PA 19104","3733 Spruce Street, Vance Hall, Suite 111","MBA Candidate, Wharton School","0,71,133"
northeast,consultant,the Charles F. Dolan School of Business at Fairfield University,L,s49,mba11,Fairfield University,"Fairfield, CT","Fairfield, CT 06824",1073 N. Benson Road,"MBA Candidate, Charles F. Dolan School of Business","224,58,62"
northeast,consultant,the Lubin School of Business at Pace University,L,s50,mba12,Pace University,"New York, NY","New York, NY 10038","1 Pace Plaza, 1st Floor","MBA Candidate, Lubin School of Business","0,45,114"
midwest,consultant,the Booth School of Business at the University of Chicago,H,s21,mba05,the University of Chicago,"Chicago, IL","Chicago, IL 60637",5807 S Woodlawn Ave,"MBA Candidate, Booth School of Business","128,0,0"
midwest,consultant,the Kellogg School of Management at Northwestern University,H,s13,mba06,Northwestern University,"Evanston, IL","Evanston, IL 60208",2211 Campus Drive,"MBA Candidate, Kellogg School of Management","78,42,132"
midwest,consultant,the Miller College of Business at Ball State University,L,s41,mba13,Ball State University,"Muncie, IN","Muncie, IN 47306","Whitinger Business Building, Room 146","MBA Candidate, Miller College of Business","186,12,47"
midwest,consultant,the Seidman College of Business at Grand Valley State University,L,s51,mba14,Grand Valley State University,"Grand Rapids, MI","Grand Rapids, MI 49504","50 Front Ave SW, Suite 1031 ","MBA Candidate, Seidman College of Business","0,75,135"
south,consultant,the Robinson College of Business at Georgia State University,L,s08,mba15,Georgia State University,"Atlanta, GA","Atlanta, GA 30302",35 Broad St NW,"MBA Candidate, Robinson College of Business","0,57,166"
south,consultant,"the Bryan School of Business and Economics at the University of North Carolina, Greensboro",L,s39,mba16,"the University of North Carolina, Greensboro","Greensboro, NC","Greensboro, NC 27402",516 Stirling Street,"MBA Candidate, Bryan School of Business and Economics","15,32,68"
south,consultant,the Fuqua School of Business at Duke University,H,s31,mba07,Duke University,"Durham, NC","Durham, NC 27708","100 Fuqua Drive, Box 90120","MBA Candidate, Fuqua School of Business","0,26,87"
south,consultant,"the McCombs School of Business at the University of Texas, Austin",H,s27,mba08,"the University of Texas, Austin","Austin, TX","Austin, TX 78712",300 W. Martin Luther King Jr. Blvd.,"MBA Candidate, McCombs School of Business","191,87,0"
