region,sid,ug_sid,ug_school,ug_school_short,ug_ctyst,treatment,profile,prestige
northeast,s11,ba10,Massachusetts Institute of Technology,MIT,"Cambridge, MA",president of the MIT Undergraduate Association,P03NH,H
northeast,s15,ba11,Princeton University,Princeton,"Princeton, NJ",president of the Princeton College Democrats,P01DH,H
northeast,s15,ba11,Princeton University,Princeton,"Princeton, NJ",president of the Princeton College Republicans,P05RH,H
northeast,s15,ba11,Princeton University,Princeton,"Princeton, NJ",president of the Princeton Undergraduate Student Government,P03NH,H
northeast,s25,ba12,"University of Massachusetts, Boston",UMass Boston,"Boston, MA",president of the University of Massachusetts Boston College Republicans,P06RL,L
northeast,s25,ba12,"University of Massachusetts, Boston",UMass Boston,"Boston, MA",president of the University of Massachusetts Boston College Democrats,P02DL,L
northeast,s25,ba12,"University of Massachusetts, Boston",UMass Boston,"Boston, MA",president of the University of Massachusetts Boston Undergraduate Student Government,P04NL,L
northeast,s23,ba13,University of Maine,UMaine,"Orono, ME",president of the University of Maine College Democrats,P02DL,L
northeast,s23,ba13,University of Maine,UMaine,"Orono, ME",president of the University of Maine College Republicans,P06RL,L
northeast,s23,ba13,University of Maine,UMaine,"Orono, ME",president of the University of Maine Student Government,P04NL,L
midwest,s13,ba14,Northwestern University,Northwestern,"Evanston, IL",president of the Northwestern College Democrats,P01DH,H
midwest,s13,ba14,Northwestern University,Northwestern,"Evanston, IL",president of the Northwestern College Republicans,P05RH,H
midwest,s13,ba14,Northwestern University,Northwestern,"Evanston, IL",president of the Northwestern Associated Student Government,P03NH,H
midwest,s21,ba15,University of Chicago,Chicago,"Chicago, IL",president of the University of Chicago Democrats,P01DH,H
midwest,s21,ba15,University of Chicago,Chicago,"Chicago, IL",president of the University of Chicago College Republicans,P05RH,H
midwest,s21,ba15,University of Chicago,Chicago,"Chicago, IL",president of the University of Chicago Student Government,P03NH,H
midwest,s05,ba16,Central Michigan University,CMU,"Mount Pleasant, MI",president of the Central Michigan University College Democrats,P02DL,L
midwest,s05,ba16,Central Michigan University,CMU,"Mount Pleasant, MI",president of the Central Michigan University Student Government Association,P04NL,L
midwest,s05,ba16,Central Michigan University,CMU,"Mount Pleasant, MI",president of the Central Michigan University College Republicans,P06RL,L
midwest,s01,ba17,Bowling Green State University,BGSU,"Bowling Green, OH",president of the Bowling Green State University College Democrats,P02DL,L
midwest,s01,ba17,Bowling Green State University,BGSU,"Bowling Green, OH",president of the Bowling Green State University Undergraduate Student Government,P04NL,L
midwest,s01,ba17,Bowling Green State University,BGSU,"Bowling Green, OH",president of the Bowling Green State University College Republicans,P06RL,L
