list_id,company,raw_company
f1000_163,Paccar,Paccar
f1000_164,General Mills,General Mills
f1000_165,PNC Financial Services Group,PNC Financial Services Group
f1000_166,American Electric Power,American Electric Power
f1000_167,Icahn Enterprises,Icahn Enterprises
f1000_168,Nucor,Nucor
f1000_169,NextEra Energy,NextEra Energy
f1000_170,Performance Food Group,Performance Food Group
f1000_171,PBF Energy,PBF Energy
f1000_172,Halliburton,Halliburton
f1000_173,CarMax,CarMax
f1000_174,Freeport-McMoRan,Freeport-McMoRan
f1000_175,Whole Foods Market,Whole Foods Market
f1000_176,Bank of New York Mellon,Bank of New York Mellon
f1000_177,GAP,Gap
f1000_178,Omnicom Group,Omnicom Group
f1000_179,Genuine Parts,Genuine Parts
f1000_180,DaVita,DaVita
f1000_181,Colgate-Palmolive,Colgate-Palmolive
f1000_182,PPG Industries,PPG Industries
f1000_183,Goodyear Tire & Rubber,Goodyear Tire & Rubber
f1000_184,Synchrony Financial,Synchrony Financial
f1000_185,DISH Network,DISH Network
f1000_186,Visa,Visa
f1000_187,Nordstrom,Nordstrom
f1000_188,INTL FCStone,INTL FCStone
f1000_189,WestRock,WestRock
f1000_190,XPO Logistics,XPO Logistics
f1000_191,Aramark,Aramark
f1000_192,CBS,CBS
f1000_193,AES,AES
f1000_194,WellCare Health Plans,WellCare Health Plans
f1000_195,FirstEnergy,FirstEnergy
f1000_196,Conagra Brands,Conagra Brands
f1000_197,Synnex,Synnex
f1000_198,CDW,CDW
f1000_199,Textron,Textron
f1000_200,Waste Management,Waste Management
f1000_201,Illinois Tool Works,Illinois Tool Works
f1000_202,Office Depot,Office Depot
f1000_203,Monsanto,Monsanto
f1000_204,Cognizant Technology Solutions,Cognizant Technology Solutions
f1000_205,Texas Instruments,Texas Instruments
f1000_206,Lincoln National,Lincoln National
f1000_207,Newell Brands,Newell Brands
f1000_208,Land O'Lakes,Land O'Lakes
f1000_209,Marsh & McLennan,Marsh & McLennan
f1000_210,Ecolab,Ecolab
f1000_211,C.H. Robinson Worldwide,C.H. Robinson Worldwide
f1000_212,Loews,Loews
f1000_213,CBRE Group,CBRE Group
f1000_214,Kinder Morgan,Kinder Morgan
f1000_215,Kellogg,Kellogg
f1000_216,Western Digital,Western Digital
f1000_217,Guardian Life Ins. Co. of America,Guardian Life Ins. Co. of America
f1000_218,Ross Stores,Ross Stores
f1000_219,L Brands,L Brands
f1000_220,J.C. Penney,J.C. Penney
f1000_221,Farmers Insurance Exchange,Farmers Insurance Exchange
f1000_222,Reynolds American,Reynolds American
f1000_223,Viacom,Viacom
f1000_224,Becton Dickinson,Becton Dickinson
f1000_225,Micron Technology,Micron Technology
f1000_226,Principal Financial,Principal Financial
f1000_227,Arconic,Arconic
f1000_228,NRG Energy,NRG Energy
f1000_229,VF,VF
f1000_230,Devon Energy,Devon Energy
f1000_231,D.R. Horton,D.R. Horton
f1000_232,Bed Bath & Beyond,Bed Bath & Beyond
f1000_233,Consolidated Edison,Consolidated Edison
f1000_234,Edison,Edison International
f1000_235,Sherwin-Williams,Sherwin-Williams
f1000_236,NGL Energy Partners,NGL Energy Partners
f1000_237,Dominion Energy,Dominion Energy
f1000_238,Ameriprise Financial,Ameriprise Financial
f1000_239,ADP,ADP
f1000_240,Hilton Worldwide,Hilton Worldwide Holdings
f1000_241,First Data,First Data
f1000_242,Henry Schein,Henry Schein
f1000_243,Toys 'R' Us,Toys 'R' Us
f1000_244,BB&T,BB&T Corp.
f1000_245,Reinsurance Group of America,Reinsurance Group of America
f1000_246,Core-Mark,Core-Mark Holding
f1000_247,Biogen,Biogen
f1000_248,Las Vegas Sands,Las Vegas Sands
f1000_249,Stanley Black & Decker,Stanley Black & Decker
f1000_250,Parker-Hannifin,Parker-Hannifin
f1000_251,Stryker,Stryker
f1000_252,Estee Lauder,Estee Lauder
f1000_253,Celgene,Celgene
f1000_254,BlackRock,BlackRock
f1000_255,Xcel Energy,Xcel Energy
f1000_256,CSX,CSX
f1000_257,Unum Group,Unum Group
f1000_258,Jacobs Engineering Group,Jacobs Engineering Group
f1000_259,Lennar,Lennar
f1000_260,Group 1 Automotive,Group 1 Automotive
f1000_261,Leucadia National,Leucadia National
f1000_262,Entergy,Entergy
f1000_263,PayPal,PayPal Holdings
f1000_264,Applied Materials,Applied Materials
f1000_265,Voya Financial,Voya Financial
f1000_266,Mastercard,Mastercard
f1000_267,Priceline Group,Priceline Group
f1000_268,Liberty Interactive,Liberty Interactive
f1000_269,AutoZone,AutoZone
f1000_270,State Street,State Street Corp.
f1000_271,DTE Energy,DTE Energy
f1000_272,L3 Technologies,L3 Technologies
f1000_273,HollyFrontier,HollyFrontier
f1000_274,Praxair,Praxair
f1000_275,Universal Health Services,Universal Health Services
f1000_276,Discover Financial Services,Discover Financial Services
f1000_277,Occidental Petroleum,Occidental Petroleum
f1000_278,United States Steel,United States Steel
f1000_279,Sempra Energy,Sempra Energy
f1000_280,Baxter,Baxter International
f1000_281,W.W. Grainger,W.W. Grainger
f1000_282,Autoliv,Autoliv
f1000_283,Norfolk Southern,Norfolk Southern
f1000_284,Baker Hughes,Baker Hughes
f1000_285,Ally Financial,Ally Financial
f1000_286,Sonic Automotive,Sonic Automotive
f1000_287,Owens & Minor,Owens & Minor
f1000_288,Huntsman,Huntsman
f1000_289,Laboratory Corp. of America,Laboratory Corp. of America
f1000_290,Murphy USA,Murphy USA
f1000_291,Advance Auto Parts,Advance Auto Parts
f1000_292,Fidelity National Financial,Fidelity National Financial
f1000_293,Air Products & Chemicals,Air Products & Chemicals
f1000_294,Hormel Foods,Hormel Foods
f1000_295,Hertz Global,Hertz Global Holdings
f1000_296,MGM Resorts,MGM Resorts International
f1000_297,Corning,Corning
f1000_298,Republic Services,Republic Services
f1000_299,Alcoa,Alcoa
f1000_300,Fidelity National Information Services,Fidelity National Information Services
f1000_301,Pacific Life,Pacific Life
f1000_302,SunTrust Banks,SunTrust Banks
f1000_303,LKQ,LKQ
f1000_304,BorgWarner,BorgWarner
f1000_305,Ball,Ball
f1000_306,CST Brands,CST Brands
f1000_307,Public Service Enterprise Group,Public Service Enterprise Group
f1000_308,Eastman Chemical,Eastman Chemical
f1000_309,eBay,eBay
f1000_310,Mohawk Industries,Mohawk Industries
f1000_311,Oneok,Oneok
f1000_312,Frontier Communications,Frontier Communications
f1000_313,Netflix,Netflix
f1000_314,American Family Insurance Group,American Family Insurance Group
f1000_315,Thrivent Financial for Lutherans,Thrivent Financial for Lutherans
f1000_316,Expedia,Expedia
f1000_317,Lithia Motors,Lithia Motors
f1000_318,Avis Budget Group,Avis Budget Group
f1000_319,Reliance Steel & Aluminum,Reliance Steel & Aluminum
f1000_320,GameStop,GameStop
f1000_321,Tenneco,Tenneco
f1000_322,O'Reilly Automotive,O'Reilly Automotive
f1000_323,Peter Kiewit Sons',Peter Kiewit Sons'
f1000_324,United Natural Foods,United Natural Foods
f1000_325,Salesforce,salesforce.com
f1000_326,Boston Scientific,Boston Scientific
f1000_327,Newmont Mining,Newmont Mining
f1000_328,Genworth Financial,Genworth Financial
f1000_329,Live Nation Entertainment,Live Nation Entertainment
f1000_330,Veritiv,Veritiv
f1000_331,News Corp,News Corp.
f1000_332,Crown,Crown Holdings
f1000_333,Global Partners,Global Partners
f1000_334,PVH,PVH
f1000_335,Level 3 Communications,Level 3 Communications
f1000_336,Navistar,Navistar International
f1000_337,Univar,Univar
f1000_338,Campbell Soup,Campbell Soup
f1000_339,Dick's Sporting Goods,Dick's Sporting Goods
f1000_340,Weyerhaeuser,Weyerhaeuser
f1000_341,Mutual of Omaha Insurance,Mutual of Omaha Insurance
f1000_342,Chesapeake Energy,Chesapeake Energy
f1000_343,Anadarko Petroleum,Anadarko Petroleum
f1000_344,Interpublic Group,Interpublic Group
f1000_345,J.M. Smucker,J.M. Smucker
f1000_346,Steel Dynamics,Steel Dynamics
f1000_347,Foot Locker,Foot Locker
f1000_348,Western Refining,Western Refining
f1000_349,SpartanNash,SpartanNash
f1000_350,Dean Foods,Dean Foods
f1000_351,Zimmer Biomet,Zimmer Biomet Holdings
f1000_352,PulteGroup,PulteGroup
f1000_353,W.R. Berkley,W.R. Berkley
f1000_354,Quanta Services,Quanta Services
f1000_355,EOG Resources,EOG Resources
f1000_356,Charles Schwab,Charles Schwab
f1000_357,Eversource Energy,Eversource Energy
f1000_358,Anixter,Anixter International
f1000_359,EMCOR Group,EMCOR Group
f1000_360,Assurant,Assurant
f1000_361,CenterPoint Energy,CenterPoint Energy
f1000_362,Harris,Harris
f1000_363,HD Supply,HD Supply Holdings
f1000_364,PPL,PPL
f1000_365,Quest Diagnostics,Quest Diagnostics
f1000_366,Williams,Williams
f1000_367,WEC Energy Group,WEC Energy Group
f1000_368,Hershey,Hershey
f1000_369,AGCO,AGCO
f1000_370,Ralph Lauren,Ralph Lauren
f1000_371,Masco,Masco
f1000_372,Wesco,WESCO International
f1000_373,LifePoint Health,LifePoint Health
f1000_374,National Oilwell Varco,National Oilwell Varco
f1000_375,Kindred Healthcare,Kindred Healthcare
f1000_376,Mosaic,Mosaic
f1000_377,Alliance Data Systems,Alliance Data Systems
f1000_378,Computer Sciences,Computer Sciences
f1000_379,Huntington Ingalls Industries,Huntington Ingalls Industries
f1000_380,Leidos,Leidos Holdings
f1000_381,Erie Insurance Group,Erie Insurance Group
f1000_382,Tesla,Tesla
f1000_383,Ascena Retail Group,Ascena Retail Group
f1000_384,Darden Restaurants,Darden Restaurants
f1000_385,Harman Industries,Harman International Industries
f1000_386,Nvidia,Nvidia
f1000_387,R.R. Donnelley & Sons,R.R. Donnelley & Sons
f1000_388,Fifth Third Bank,Fifth Third Bancorp
f1000_389,Quintiles IMS,Quintiles IMS Holdings
f1000_390,Jones Lang LaSalle,Jones Lang LaSalle
f1000_391,Dover,Dover
f1000_392,Spirit AeroSystems,Spirit AeroSystems Holdings
f1000_393,Ryder System,Ryder System
f1000_394,A-Mark Precious Metals,A-Mark Precious Metals
f1000_395,Tractor Supply,Tractor Supply
f1000_396,Sealed Air,Sealed Air
f1000_397,Auto-Owners Insurance,Auto-Owners Insurance
f1000_398,Yum China,Yum China Holdings
f1000_399,Calpine,Calpine
f1000_400,Owens-Illinois,Owens-Illinois
f1000_401,Targa Resources,Targa Resources
f1000_402,JetBlue Airways,JetBlue Airways
f1000_403,Jones Financial,Jones Financial (Edward Jones)
f1000_404,Franklin Resources,Franklin Resources
f1000_405,Activision Blizzard,Activision Blizzard
f1000_406,J.B. Hunt Transport Services,J.B. Hunt Transport Services
f1000_407,Constellation Brands,Constellation Brands
f1000_408,NCR,NCR
f1000_409,Asbury Automotive Group,Asbury Automotive Group
f1000_410,American Financial Group,American Financial Group
f1000_411,Discovery Communications,Discovery Communications
f1000_412,Berry Global Group,Berry Global Group
f1000_413,Sanmina,Sanmina
f1000_414,CalAtlantic Group,CalAtlantic Group
f1000_415,Dr Pepper Snapple Group,Dr Pepper Snapple Group
f1000_416,Dillard's,Dillard's
f1000_417,HRG Group,HRG Group
f1000_418,CMS Energy,CMS Energy
f1000_419,Graybar Electric,Graybar Electric
f1000_420,Builders FirstSource,Builders FirstSource
f1000_421,Yum Brands,Yum Brands
f1000_422,Casey's General Stores,Casey's General Stores
f1000_423,Amphenol,Amphenol
f1000_424,Oshkosh,Oshkosh
f1000_425,iHeartMedia,iHeartMedia
f1000_426,TreeHouse Foods,TreeHouse Foods
f1000_427,Alleghany,Alleghany
f1000_428,Expeditors of Washington,Expeditors International of Washington
f1000_429,Avery Dennison,Avery Dennison
f1000_430,Ameren,Ameren
f1000_431,Hanesbrands,Hanesbrands
f1000_432,Motorola Solutions,Motorola Solutions
f1000_433,St. Jude Medical,St. Jude Medical
f1000_434,Harley-Davidson,Harley-Davidson
f1000_435,Regions Financial,Regions Financial
f1000_436,Intercontinental Exchange,Intercontinental Exchange
f1000_437,Alaska Air Group,Alaska Air Group
f1000_438,Old Republic,Old Republic International
f1000_439,Lam Research,Lam Research
f1000_440,AK Steel,AK Steel Holding
f1000_441,Rockwell Automation,Rockwell Automation
f1000_442,Adobe Systems,Adobe Systems
f1000_443,Avon Products,Avon Products
f1000_444,Terex,Terex
f1000_445,NVR,NVR
f1000_446,Dana,Dana
f1000_447,Realogy,Realogy Holdings
f1000_448,American Tower,American Tower
f1000_449,Packaging Corp. of America,Packaging Corp. of America
f1000_450,Citizens Financial Group,Citizens Financial Group
f1000_451,United Rentals,United Rentals
f1000_452,Clorox,Clorox
f1000_453,Genesis Healthcare,Genesis Healthcare
f1000_454,M&T Bank,M&T Bank Corp.
f1000_455,Ingredion,Ingredion
f1000_456,UGI,UGI
f1000_457,Owens Corning,Owens Corning
f1000_458,S&P Global,S&P Global
f1000_459,Markel,Markel
f1000_460,Wyndham Worldwide,Wyndham Worldwide
f1000_461,Arthur J. Gallagher,Arthur J. Gallagher
f1000_462,Burlington Stores,Burlington Stores
f1000_463,First American Financial,First American Financial
f1000_464,Symantec,Symantec
f1000_465,Patterson,Patterson
f1000_466,Olin,Olin
f1000_467,NetApp,NetApp
f1000_468,Raymond James Financial,Raymond James Financial
f1000_469,TravelCenters of America,TravelCenters of America
f1000_470,Fiserv,Fiserv
f1000_471,Host Hotels & Resorts,Host Hotels & Resorts
f1000_472,Insight Enterprises,Insight Enterprises
f1000_473,Mattel,Mattel
f1000_474,AmTrust Financial Services,AmTrust Financial Services
f1000_475,Cincinnati Financial,Cincinnati Financial
f1000_476,Simon Property Group,Simon Property Group
f1000_477,Western Union,Western Union
f1000_478,KeyCorp,KeyCorp
f1000_479,Delek US,Delek US Holdings
f1000_480,Booz Allen Hamilton,Booz Allen Hamilton Holding
f1000_481,Chemours,Chemours
f1000_482,Western & Southern Financial Group,Western & Southern Financial Group
f1000_483,Celanese,Celanese
f1000_484,Windstream,Windstream Holdings
f1000_485,Seaboard,Seaboard
f1000_486,Essendant,Essendant
f1000_487,Apache,Apache
f1000_488,Airgas,Airgas
f1000_489,Kelly Services,Kelly Services
f1000_490,Liberty Media,Liberty Media
f1000_491,Rockwell Collins,Rockwell Collins
f1000_492,Robert Half,Robert Half International
f1000_493,CH2M Hill,CH2M Hill
f1000_494,Big Lots,Big Lots
f1000_495,Michaels,Michaels Cos.
f1000_496,Toll Brothers,Toll Brothers
f1000_497,Yahoo,Yahoo
f1000_498,Vistra Energy,Vistra Energy
f1000_499,ABM Industries,ABM Industries
f1000_500,Northern Trust,Northern Trust
f1000_501,MasTec,MasTec
f1000_502,Blackstone Group,Blackstone Group
f1000_503,Telephone & Data Systems,Telephone & Data Systems
f1000_504,Domtar,Domtar
f1000_505,Williams-Sonoma,Williams-Sonoma
f1000_506,Westlake Chemical,Westlake Chemical
f1000_507,Post,Post Holdings
f1000_508,Hasbro,Hasbro
f1000_509,Juniper Networks,Juniper Networks
f1000_510,Fortune Brands Home & Security,Fortune Brands Home & Security
f1000_511,Brookdale Senior Living,Brookdale Senior Living
f1000_512,Tutor Perini,Tutor Perini
f1000_513,Navient,Navient
f1000_514,Neiman Marcus Group,Neiman Marcus Group
f1000_515,Ashland Global,Ashland Global Holdings
f1000_516,Hanover Insurance Group,Hanover Insurance Group
f1000_517,CommScope,CommScope Holding
f1000_518,Spectra Energy,Spectra Energy
f1000_519,Cintas,Cintas
f1000_520,Zoetis,Zoetis
f1000_521,Molson Coors Brewing,Molson Coors Brewing
f1000_522,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals
f1000_523,Ulta Beauty,Ulta Beauty
f1000_524,Hess,Hess
f1000_525,Magellan Health,Magellan Health
f1000_526,Intuit,Intuit
f1000_527,Under Armour,Under Armour
f1000_528,RPM,RPM International
f1000_529,Cerner,Cerner
f1000_530,Sonoco Products,Sonoco Products
f1000_531,Securian Financial Group,Securian Financial Group
f1000_532,Peabody Energy,Peabody Energy
f1000_533,YRC Worldwide,YRC Worldwide
f1000_534,Commercial Metals,Commercial Metals
f1000_535,Marathon Oil,Marathon Oil
f1000_536,Polaris Industries,Polaris Industries
f1000_537,Envision Healthcare,Envision Healthcare
f1000_538,Trinity Industries,Trinity Industries
f1000_539,Thor Industries,Thor Industries
f1000_540,Caesars Entertainment,Caesars Entertainment
f1000_541,Levi Strauss,Levi Strauss
f1000_542,FMC Technologies,FMC Technologies
f1000_543,VWR,VWR
f1000_544,NiSource,NiSource
f1000_545,Coach,Coach
f1000_546,Brunswick,Brunswick
f1000_547,Wynn Resorts,Wynn Resorts
f1000_548,Orbital ATK,Orbital ATK
f1000_549,CIT Group,CIT Group
f1000_550,Science Applications,Science Applications International
f1000_551,Hyatt Hotels,Hyatt Hotels
f1000_552,McCormick,McCormick
f1000_553,Diplomat Pharmacy,Diplomat Pharmacy
f1000_554,Barnes & Noble,Barnes & Noble
f1000_555,Electronic Arts,Electronic Arts
f1000_556,FM Global,FM Global
f1000_557,Coty,Coty
f1000_558,Smart & Final Stores,Smart & Final Stores
f1000_559,Quad/Graphics,Quad/Graphics
f1000_560,Dynegy,Dynegy
f1000_561,Graphic Packaging,Graphic Packaging Holding
f1000_562,Select Medical,Select Medical Holdings
f1000_563,Welltower,Welltower
f1000_564,Advanced Micro Devices,Advanced Micro Devices
f1000_565,USG,USG
f1000_566,KBR,KBR
f1000_567,Bloomin' Brands,Bloomin' Brands
f1000_568,MDU Resources Group,MDU Resources Group
f1000_569,CSRA,CSRA
f1000_570,Laureate Education,Laureate Education
f1000_571,Scana,SCANA
f1000_572,T. Rowe Price,T. Rowe Price
f1000_573,Watsco,Watsco
f1000_574,Rush Enterprises,Rush Enterprises
f1000_575,Agilent Technologies,Agilent Technologies
f1000_576,WhiteWave Foods,WhiteWave Foods
f1000_577,Valspar,Valspar
f1000_578,Total System Services,Total System Services
f1000_579,Torchmark,Torchmark
f1000_580,Cabela's,Cabela's
f1000_581,Beacon Roofing Supply,Beacon Roofing Supply
f1000_582,CA,CA
f1000_583,LPL Financial,LPL Financial Holdings
f1000_584,Sprouts Farmers Market,Sprouts Farmers Market
f1000_585,Swift Transportation,Swift Transportation
f1000_586,Bemis,Bemis
f1000_587,Tiffany,Tiffany
f1000_588,Flowserve,Flowserve
f1000_589,CNO Financial Group,CNO Financial Group
f1000_590,Fastenal,Fastenal
f1000_591,Sally Beauty,Sally Beauty Holdings
f1000_592,American Axle & Manufacturing,American Axle & Manufacturing
f1000_593,Flowers Foods,Flowers Foods
f1000_594,Andersons,Andersons
f1000_595,Crown Castle,Crown Castle International
f1000_596,Boise Cascade,Boise Cascade
f1000_597,ON Semiconductor,ON Semiconductor
f1000_598,Chipotle Mexican Grill,Chipotle Mexican Grill
f1000_599,Amkor Technology,Amkor Technology
f1000_600,Triumph Group,Triumph Group
f1000_601,OneMain,OneMain Holdings
f1000_602,General Cable,General Cable
f1000_603,Ametek,Ametek
f1000_604,Alon USA Energy,Alon USA Energy
f1000_605,Pioneer Natural Resources,Pioneer Natural Resources
f1000_606,Martin Marietta Materials,Martin Marietta Materials
f1000_607,Ingles Markets,Ingles Markets
f1000_608,Roper Technologies,Roper Technologies
f1000_609,Huntington Bancshares,Huntington Bancshares
f1000_610,Xylem,Xylem
f1000_611,Unified Grocers,Unified Grocers
f1000_612,Leggett & Platt,Leggett & Platt
f1000_613,Dentsply Sirona,Dentsply Sirona
f1000_614,CACI,CACI International
f1000_615,Mead Johnson Nutrition,Mead Johnson Nutrition
f1000_616,C.R. Bard,C.R. Bard
f1000_617,Snap-on,Snap-on
f1000_618,HealthSouth,HealthSouth
f1000_619,Nasdaq,Nasdaq
f1000_620,Avaya,Avaya
f1000_621,CF Industries,CF Industries Holdings
f1000_622,Carlisle,Carlisle
f1000_623,Equinix,Equinix
f1000_624,LSC Communications,LSC Communications
f1000_625,Colfax,Colfax
f1000_626,Lennox,Lennox International
f1000_627,Iasis Healthcare,Iasis Healthcare
f1000_628,Silgan,Silgan Holdings
f1000_629,American Eagle Outfitters,American Eagle Outfitters
f1000_630,Moody's,Moody's
f1000_631,Calumet Specialty Products Partners,Calumet Specialty Products Partners
f1000_632,CME Group,CME Group
f1000_633,KB Home,KB Home
f1000_634,Vulcan Materials,Vulcan Materials
f1000_635,Platform Specialty Products,Platform Specialty Products
f1000_636,Vantiv,Vantiv
f1000_637,Skechers U.S.A.,Skechers U.S.A.
f1000_638,Zebra Technologies,Zebra Technologies
f1000_639,Hub Group,Hub Group
f1000_640,HSN,HSN
f1000_641,Stericycle,Stericycle
f1000_642,National General,National General Holdings
f1000_643,Taylor Morrison Home,Taylor Morrison Home
f1000_644,Urban Outfitters,Urban Outfitters
f1000_645,Resolute Forest Products,Resolute Forest Products
f1000_646,ScanSource,ScanSource
f1000_647,Camping World,Camping World Holdings
f1000_648,Iron Mountain,Iron Mountain
f1000_649,Hubbell,Hubbell
f1000_650,Pinnacle West Capital,Pinnacle West Capital
f1000_651,Church & Dwight,Church & Dwight
f1000_652,Noble Energy,Noble Energy
f1000_653,Albemarle,Albemarle
f1000_654,Cooper-Standard,Cooper-Standard Holdings
f1000_655,KKR,KKR
f1000_656,Country Financial,Country Financial
f1000_657,Ventas,Ventas
f1000_658,Hexion,Hexion
f1000_659,Analog Devices,Analog Devices
f1000_660,Citrix Systems,Citrix Systems
f1000_661,Green Plains,Green Plains
f1000_662,Pitney Bowes,Pitney Bowes
f1000_663,Scripps Networks Interactive,Scripps Networks Interactive
